Designator,Mid X,Mid Y,Rotation,Layer
C1,127.81,-55.51,180.0,top
C2,129.47,-63.73,270.0,top
C3,119.48,-59.18,270.0,top
C4,121.15,-59.17,270.0,top
D1,113.37,-48.22,0.0,top
D2,113.37,-51.08,0.0,top
D3,113.37,-53.9,0.0,top
J1,142.79,-49.595,0.0,top
J2,115.08,-60.445,270.0,top
J3,125.39,-64.11,270.0,top
R1,137.385,-55.55,0.0,top
R2,133.01,-63.74,0.0,top
R3,116.755,-48.22,180.0,top
R4,116.755,-51.06,180.0,top
R5,116.755,-53.9,180.0,top
U1,135.14,-51.71,180.0,top
U2,135.21,-59.91,0.0,top
U4,125.99,-59.16,0.0,top
v0.0.1,111.59,-66.11,0.0,top
